Date,Hour,load,scenario,period
14/06/2018,3,11745.9,90,2
14/06/2018,3,10918.5,91,2
14/06/2018,3,11718.7,92,2
14/06/2018,3,10333.5,93,2
14/06/2018,3,11208.4,94,2
14/06/2018,3,11302.4,95,2
14/06/2018,3,11424.5,96,2
14/06/2018,3,10984.3,97,2
14/06/2018,3,13603.4,98,2
14/06/2018,3,12047.3,99,2
14/06/2018,3,14133.9,100,2
14/06/2018,4,4926.9,1,3
14/06/2018,4,5242.4,2,3
14/06/2018,4,6249.9,3,3
14/06/2018,4,5835.7,4,3
14/06/2018,4,6382.6,5,3
14/06/2018,4,7501.4,6,3
14/06/2018,4,6894.7,7,3
14/06/2018,4,7916.5,8,3
14/06/2018,4,7562.6,9,3
14/06/2018,4,6960.7,10,3
14/06/2018,4,7943.2,11,3
14/06/2018,4,7585.9,12,3
14/06/2018,4,7985.7,13,3
14/06/2018,4,7608.1,14,3
14/06/2018,4,6908.9,15,3
14/06/2018,4,7967.5,16,3
14/06/2018,4,6981.6,17,3
14/06/2018,4,7370.3,18,3
14/06/2018,4,7447.4,19,3
14/06/2018,4,8509.5,20,3
14/06/2018,4,7512.8,21,3
14/06/2018,4,8685.7,22,3
14/06/2018,4,7554.5,23,3
14/06/2018,4,9022.0,24,3
14/06/2018,4,8536.5,25,3
14/06/2018,4,8598.8,26,3
14/06/2018,4,8720.4,27,3
14/06/2018,4,7830.0,28,3
14/06/2018,4,9084.0,29,3
14/06/2018,4,8242.6,30,3
14/06/2018,4,8257.1,31,3
14/06/2018,4,8484.3,32,3
14/06/2018,4,9299.1,33,3
14/06/2018,4,8747.6,34,3
14/06/2018,4,8678.3,35,3
14/06/2018,4,8952.6,36,3
14/06/2018,4,9558.9,37,3
14/06/2018,4,8546.7,38,3
14/06/2018,4,9079.2,39,3
14/06/2018,4,8715.4,40,3
14/06/2018,4,8794.6,41,3
14/06/2018,4,9924.7,42,3
14/06/2018,4,8340.9,43,3
14/06/2018,4,8448.9,44,3
14/06/2018,4,9771.0,45,3
14/06/2018,4,9676.6,46,3
14/06/2018,4,8996.3,47,3
14/06/2018,4,9294.3,48,3
14/06/2018,4,8717.3,49,3
14/06/2018,4,9649.9,50,3
14/06/2018,4,8725.0,51,3
14/06/2018,4,9456.7,52,3
14/06/2018,4,9153.1,53,3
14/06/2018,4,9004.3,54,3
14/06/2018,4,10260.8,55,3
