Date,Hour,period,value,var
20/06/2018,12,155,94.29999999999997,C_LOWER_BOUND
20/06/2018,13,156,150.40000000000003,C_LOWER_BOUND
20/06/2018,14,157,69.5,C_LOWER_BOUND
20/06/2018,15,158,187.1,C_LOWER_BOUND
20/06/2018,16,159,186.0,C_LOWER_BOUND
20/06/2018,17,160,133.39999999999998,C_LOWER_BOUND
20/06/2018,18,161,187.50000000000009,C_LOWER_BOUND
20/06/2018,19,162,249.0,C_LOWER_BOUND
20/06/2018,20,163,209.1,C_LOWER_BOUND
20/06/2018,21,164,142.59999999999997,C_LOWER_BOUND
20/06/2018,22,165,130.5,C_LOWER_BOUND
20/06/2018,23,166,37.69999999999999,C_LOWER_BOUND
20/06/2018,24,167,131.3,C_LOWER_BOUND
14/06/2018,1,0,798.8,A_UPPER_BOUND
14/06/2018,2,1,686.4,A_UPPER_BOUND
14/06/2018,3,2,697.0,A_UPPER_BOUND
14/06/2018,4,3,764.4,A_UPPER_BOUND
14/06/2018,5,4,769.0,A_UPPER_BOUND
14/06/2018,6,5,706.0999999999998,A_UPPER_BOUND
14/06/2018,7,6,765.2,A_UPPER_BOUND
14/06/2018,8,7,748.7,A_UPPER_BOUND
14/06/2018,9,8,747.2,A_UPPER_BOUND
14/06/2018,10,9,684.3,A_UPPER_BOUND
14/06/2018,11,10,716.8,A_UPPER_BOUND
14/06/2018,12,11,712.7,A_UPPER_BOUND
14/06/2018,13,12,749.6,A_UPPER_BOUND
14/06/2018,14,13,668.0,A_UPPER_BOUND
14/06/2018,15,14,725.2,A_UPPER_BOUND
14/06/2018,16,15,751.4,A_UPPER_BOUND
14/06/2018,17,16,691.3,A_UPPER_BOUND
14/06/2018,18,17,747.6,A_UPPER_BOUND
14/06/2018,19,18,683.2,A_UPPER_BOUND
14/06/2018,20,19,744.1,A_UPPER_BOUND
14/06/2018,21,20,683.9,A_UPPER_BOUND
14/06/2018,22,21,736.7,A_UPPER_BOUND
14/06/2018,23,22,725.4000000000002,A_UPPER_BOUND
14/06/2018,24,23,682.0,A_UPPER_BOUND
15/06/2018,1,24,745.0,A_UPPER_BOUND
15/06/2018,2,25,750.0,A_UPPER_BOUND
15/06/2018,3,26,755.7,A_UPPER_BOUND
15/06/2018,4,27,722.9,A_UPPER_BOUND
15/06/2018,5,28,789.7,A_UPPER_BOUND
15/06/2018,6,29,675.2,A_UPPER_BOUND
15/06/2018,7,30,764.5,A_UPPER_BOUND
15/06/2018,8,31,767.9000000000002,A_UPPER_BOUND
15/06/2018,9,32,778.2,A_UPPER_BOUND
15/06/2018,10,33,727.8,A_UPPER_BOUND
15/06/2018,11,34,740.7,A_UPPER_BOUND
15/06/2018,12,35,675.2,A_UPPER_BOUND
15/06/2018,13,36,771.1,A_UPPER_BOUND
15/06/2018,14,37,725.0,A_UPPER_BOUND
15/06/2018,15,38,771.6,A_UPPER_BOUND
15/06/2018,16,39,772.5,A_UPPER_BOUND
15/06/2018,17,40,729.4,A_UPPER_BOUND
15/06/2018,18,41,742.4,A_UPPER_BOUND
15/06/2018,19,42,786.8,A_UPPER_BOUND
15/06/2018,20,43,669.9000000000002,A_UPPER_BOUND
15/06/2018,21,44,730.7,A_UPPER_BOUND
15/06/2018,22,45,784.5,A_UPPER_BOUND
15/06/2018,23,46,770.4000000000002,A_UPPER_BOUND
15/06/2018,24,47,710.3,A_UPPER_BOUND
16/06/2018,1,48,701.5,A_UPPER_BOUND
16/06/2018,2,49,730.9000000000002,A_UPPER_BOUND
16/06/2018,3,50,698.0,A_UPPER_BOUND
16/06/2018,4,51,718.6,A_UPPER_BOUND
16/06/2018,5,52,743.3,A_UPPER_BOUND
16/06/2018,6,53,687.6,A_UPPER_BOUND
16/06/2018,7,54,760.0,A_UPPER_BOUND
16/06/2018,8,55,793.3,A_UPPER_BOUND
16/06/2018,9,56,711.2,A_UPPER_BOUND
16/06/2018,10,57,750.7,A_UPPER_BOUND
16/06/2018,11,58,734.1,A_UPPER_BOUND
16/06/2018,12,59,707.2,A_UPPER_BOUND
16/06/2018,13,60,731.1,A_UPPER_BOUND
16/06/2018,14,61,738.0999999999998,A_UPPER_BOUND
16/06/2018,15,62,694.0,A_UPPER_BOUND
16/06/2018,16,63,792.8,A_UPPER_BOUND
16/06/2018,17,64,725.7,A_UPPER_BOUND
16/06/2018,18,65,728.8,A_UPPER_BOUND
16/06/2018,19,66,745.0,A_UPPER_BOUND
16/06/2018,20,67,713.9,A_UPPER_BOUND
16/06/2018,21,68,705.8,A_UPPER_BOUND
16/06/2018,22,69,706.4,A_UPPER_BOUND
16/06/2018,23,70,716.0999999999998,A_UPPER_BOUND
16/06/2018,24,71,775.7,A_UPPER_BOUND
17/06/2018,1,72,700.8,A_UPPER_BOUND
17/06/2018,2,73,763.2,A_UPPER_BOUND
17/06/2018,3,74,697.5999999999998,A_UPPER_BOUND
17/06/2018,4,75,682.9,A_UPPER_BOUND
17/06/2018,5,76,717.9000000000002,A_UPPER_BOUND
17/06/2018,6,77,734.5999999999998,A_UPPER_BOUND
17/06/2018,7,78,734.5999999999998,A_UPPER_BOUND
17/06/2018,8,79,705.8,A_UPPER_BOUND
17/06/2018,9,80,712.6,A_UPPER_BOUND
17/06/2018,10,81,681.4,A_UPPER_BOUND
17/06/2018,11,82,738.8,A_UPPER_BOUND
17/06/2018,12,83,701.1,A_UPPER_BOUND
17/06/2018,13,84,690.4000000000002,A_UPPER_BOUND
17/06/2018,14,85,714.2,A_UPPER_BOUND
17/06/2018,15,86,691.8,A_UPPER_BOUND
17/06/2018,16,87,726.5,A_UPPER_BOUND
17/06/2018,17,88,729.9000000000002,A_UPPER_BOUND
17/06/2018,18,89,690.5999999999998,A_UPPER_BOUND
17/06/2018,19,90,698.7,A_UPPER_BOUND
17/06/2018,20,91,738.9000000000002,A_UPPER_BOUND
17/06/2018,21,92,761.2,A_UPPER_BOUND
17/06/2018,22,93,691.4000000000002,A_UPPER_BOUND
17/06/2018,23,94,731.5,A_UPPER_BOUND
17/06/2018,24,95,795.0,A_UPPER_BOUND
18/06/2018,1,96,701.8,A_UPPER_BOUND
18/06/2018,2,97,793.4,A_UPPER_BOUND
18/06/2018,3,98,744.3,A_UPPER_BOUND
18/06/2018,4,99,761.5999999999998,A_UPPER_BOUND
18/06/2018,5,100,752.5999999999998,A_UPPER_BOUND
18/06/2018,6,101,670.1,A_UPPER_BOUND
18/06/2018,7,102,727.5,A_UPPER_BOUND
18/06/2018,8,103,711.9,A_UPPER_BOUND
18/06/2018,9,104,743.9,A_UPPER_BOUND
18/06/2018,10,105,731.5,A_UPPER_BOUND
18/06/2018,11,106,750.4000000000002,A_UPPER_BOUND
18/06/2018,12,107,805.2,A_UPPER_BOUND
18/06/2018,13,108,732.3,A_UPPER_BOUND
18/06/2018,14,109,724.5,A_UPPER_BOUND
