unit,Date,Hour,Lmax,Lmin,LmaxR,LminR,Umax,Umin,period
WIND02,15/06/2018,8,200.3,0,200.3,0,1,0,31
SOLAR01,15/06/2018,8,18.8,0,18.8,0,1,0,31
SOLAR02,15/06/2018,8,11.8,0,11.8,0,1,0,31
WIND01,15/06/2018,9,270.3,0,270.3,0,1,0,32
WIND02,15/06/2018,9,227.2,0,227.2,0,1,0,32
SOLAR01,15/06/2018,9,80.1,0,80.1,0,1,0,32
SOLAR02,15/06/2018,9,49.7,0,49.7,0,1,0,32
WIND01,15/06/2018,10,333.3,0,333.3,0,1,0,33
WIND02,15/06/2018,10,244.5,0,244.5,0,1,0,33
SOLAR01,15/06/2018,10,163.2,0,163.2,0,1,0,33
SOLAR02,15/06/2018,10,90.5,0,90.5,0,1,0,33
WIND01,15/06/2018,11,326.3,0,326.3,0,1,0,34
WIND02,15/06/2018,11,223.8,0,223.8,0,1,0,34
SOLAR01,15/06/2018,11,306.9,0,306.9,0,1,0,34
SOLAR02,15/06/2018,11,199.2,0,199.2,0,1,0,34
WIND01,15/06/2018,12,421.7,0,421.7,0,1,0,35
WIND02,15/06/2018,12,287.7,0,287.7,0,1,0,35
SOLAR01,15/06/2018,12,415.2,0,415.2,0,1,0,35
SOLAR02,15/06/2018,12,222.4,0,222.4,0,1,0,35
WIND01,15/06/2018,13,456.3,0,456.3,0,1,0,36
WIND02,15/06/2018,13,261.4,0,261.4,0,1,0,36
SOLAR01,15/06/2018,13,425.9,0,425.9,0,1,0,36
SOLAR02,15/06/2018,13,270.4,0,270.4,0,1,0,36
WIND01,15/06/2018,14,366.5,0,366.5,0,1,0,37
WIND02,15/06/2018,14,146.4,0,146.4,0,1,0,37
SOLAR01,15/06/2018,14,528.6,0,528.6,0,1,0,37
SOLAR02,15/06/2018,14,340.1,0,340.1,0,1,0,37
WIND01,15/06/2018,15,382.4,0,382.4,0,1,0,38
WIND02,15/06/2018,15,252.2,0,252.2,0,1,0,38
SOLAR01,15/06/2018,15,576.9,0,576.9,0,1,0,38
SOLAR02,15/06/2018,15,352.2,0,352.2,0,1,0,38
WIND01,15/06/2018,16,365.6,0,365.6,0,1,0,39
WIND02,15/06/2018,16,298.1,0,298.1,0,1,0,39
SOLAR01,15/06/2018,16,608.8,0,608.8,0,1,0,39
SOLAR02,15/06/2018,16,362.0,0,362.0,0,1,0,39
WIND01,15/06/2018,17,387.8,0,387.8,0,1,0,40
WIND02,15/06/2018,17,392.3,0,392.3,0,1,0,40
SOLAR01,15/06/2018,17,527.0,0,527.0,0,1,0,40
SOLAR02,15/06/2018,17,273.0,0,273.0,0,1,0,40
WIND01,15/06/2018,18,324.3,0,324.3,0,1,0,41
WIND02,15/06/2018,18,374.0,0,374.0,0,1,0,41
SOLAR01,15/06/2018,18,370.2,0,370.2,0,1,0,41
SOLAR02,15/06/2018,18,225.5,0,225.5,0,1,0,41
